Name,Description,Status,Priority
"2) Auth UI + sesiones","Login/signup, persistencia de sesión y logout.","Pendiente","High"
"2) Bootstrap user+profile","Crear records en users y profiles al signup (RPC/trigger o endpoint).","Pendiente","High"
"2) Edición de perfil","Formulario para editar nombre, bio y avatar_url con validaciones.","Pendiente","Medium"
"3) Crear empresa","Crear empresa con owner_id = auth.uid().","Pendiente","High"
"3) Editar empresa","Solo owner puede editar name/description.","Pendiente","Medium"
"3) Vista pública empresa","Página pública con datos y jobs abiertos.","Pendiente","Medium"
"4) Crear job","Solo owner crea job, status open por defecto.","Pendiente","High"
"4) Editar job","Solo owner edita y puede cerrar job.","Pendiente","Medium"
"4) Listado público jobs","Listado de jobs open con filtros básicos.","Pendiente","High"
"5) Postular a job","Crear application con unique(user_id, job_id).","Pendiente","High"
"5) Mis postulaciones","Listado de postulaciones del usuario con estado.","Pendiente","Medium"
"5) Postulaciones de empresa","Listado por jobs de empresa y cambio de status.","Pendiente","High"
"5) Notificación básica","Feedback UI cuando cambia el status de la postulación.","Pendiente","Low"
"6) Crear conversación","Crear conversación + 2 participantes en transacción.","Pendiente","High"
"6) Lista de conversaciones","Mostrar solo conversaciones propias.","Pendiente","Medium"
"6) Mensajes","Enviar/leer mensajes solo participantes, orden por fecha.","Pendiente","High"
"7) Crear review","Crear review con reviewer_id = auth.uid(), rating 1-5.","Pendiente","Medium"
"7) Validación participación","Solo si hubo relación (application aceptada o chat).","Pendiente","High"
"8) Estados vacíos","Empty states para jobs, postulaciones, chats.","Pendiente","Low"
"8) Loading/Error","Skeletons y mensajes de error consistentes.","Pendiente","Medium"
"8) UI polish","Tipografía, espaciados y responsive.","Pendiente","Medium"
"9) Flags de abuso","Flag en reviews/chat con motivo.","Pendiente","Low"
"9) Moderación básica","Vista interna para revisar flags y marcar resuelto.","Pendiente","Low"
"10) Tests RLS críticos","Tests para policies clave (users, companies, jobs, applications, messages).","Pendiente","High"
"10) Smoke tests flujo","signup → empresa → job → postular → chat.","Pendiente","High"
"10) Índices y performance","Índices en FK y campos de filtro.","Pendiente","Medium"
